# Sim v1 (Up to date)
# 3372 data points written for 12 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,9 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Vitesse totale (m/s),Masse (g),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Coefficient de force normale (​),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
9.21,2329.357,306.017,1.509e4,239.144,188.788,3.357,0.002,-0.141,763.25,9.739e-4,0.927
9.26,2342.727,303.775,1.509e4,239.041,188.788,3.35,0.002,-0.228,761.963,9.726e-4,0.92
9.31,2355.994,301.572,1.509e4,238.949,188.788,3.344,4.017e-5,-0.314,760.686,9.713e-4,0.914
9.36,2369.161,299.407,1.509e4,238.847,188.788,3.337,0.001,-0.4,759.419,9.7e-4,0.907
9.41,2382.228,297.278,1.509e4,238.747,188.788,3.331,0.001,-0.484,758.161,9.687e-4,0.901
9.46,2395.197,295.185,1.509e4,238.657,188.788,3.325,1.711e-4,-0.569,756.913,9.674e-4,0.895
9.51,2408.069,293.124,1.509e4,238.562,188.788,3.318,3.319e-4,-0.652,755.674,9.661e-4,0.888
9.56,2420.847,291.095,1.509e4,238.468,188.788,3.312,0.001,-0.736,754.444,9.648e-4,0.882
9.61,2433.531,289.097,1.509e4,238.372,188.788,3.306,0.002,-0.818,753.223,9.635e-4,0.876
9.66,2446.123,287.13,1.509e4,238.29,188.788,3.3,4.779e-4,-0.9,752.011,9.623e-4,0.87
9.71,2458.624,285.191,1.509e4,238.192,188.788,3.294,0.003,-0.981,750.808,9.61e-4,0.865
9.76,2471.035,283.281,1.509e4,238.12,188.788,3.289,6.218e-4,-1.062,749.613,9.598e-4,0.859
9.81,2483.358,281.399,1.509e4,238.019,188.788,3.282,0.005,-1.142,748.427,9.585e-4,0.853
9.86,2495.594,279.543,1.509e4,237.947,188.788,3.277,0.003,-1.221,747.249,9.573e-4,0.848
9.91,2507.743,277.713,1.509e4,237.864,188.788,3.272,0.004,-1.3,746.117,9.561e-4,0.842
9.96,2519.808,275.906,1.509e4,237.78,188.788,3.266,0.006,-1.379,745.013,9.55e-4,0.837
10.01,2531.789,274.122,1.509e4,237.724,188.788,3.262,4.351e-4,-1.457,743.917,9.539e-4,0.831
10.06,2543.686,272.362,1.509e4,237.627,188.788,3.256,0.006,-1.534,742.829,9.527e-4,0.826
10.11,2555.502,270.623,1.509e4,237.569,188.788,3.252,0.003,-1.611,741.748,9.516e-4,0.821
10.16,2567.237,268.905,1.509e4,237.492,188.788,3.247,0.005,-1.687,740.674,9.505e-4,0.816
10.21,2578.892,267.208,1.509e4,237.424,188.788,3.242,0.005,-1.763,739.608,9.494e-4,0.811
10.26,2590.468,265.531,1.509e4,237.347,188.788,3.237,0.007,-1.838,738.549,9.483e-4,0.806
10.31,2601.965,263.874,1.509e4,237.304,188.788,3.234,0.002,-1.913,737.498,9.472e-4,0.801
10.36,2613.386,262.237,1.509e4,237.229,188.788,3.229,0.004,-1.987,736.453,9.461e-4,0.797
10.41,2624.729,260.617,1.509e4,237.181,188.788,3.226,5.096e-4,-2.061,735.415,9.451e-4,0.792
10.46,2635.997,259.016,1.509e4,237.119,188.788,3.222,4.292e-4,-2.134,734.384,9.44e-4,0.787
10.51,2647.19,257.433,1.509e4,237.048,188.788,3.217,0.003,-2.207,733.36,9.429e-4,0.782
10.56,2658.309,255.866,1.509e4,236.973,188.788,3.212,0.007,-2.279,732.343,9.419e-4,0.778
10.61,2669.354,254.316,1.509e4,236.913,188.788,3.208,0.008,-2.351,731.333,9.408e-4,0.774
10.66,2680.327,252.782,1.509e4,236.862,188.788,3.205,0.006,-2.422,730.329,9.398e-4,0.769
10.71,2691.227,251.265,1.509e4,236.815,188.788,3.202,0.004,-2.493,729.332,9.387e-4,0.765
10.76,2702.057,249.763,1.509e4,236.754,188.788,3.198,0.005,-2.563,728.341,9.377e-4,0.76
10.81,2712.816,248.278,1.509e4,236.692,188.788,3.194,0.006,-2.633,727.357,9.367e-4,0.756
10.86,2723.505,246.808,1.509e4,236.649,188.788,3.191,0.003,-2.703,726.379,9.357e-4,0.751
10.91,2734.125,245.354,1.509e4,236.571,188.788,3.186,0.009,-2.772,725.408,9.346e-4,0.747
10.96,2744.676,243.914,1.509e4,236.525,188.788,3.182,0.008,-2.84,724.442,9.336e-4,0.743
11.01,2755.16,242.488,1.509e4,236.48,188.788,3.18,0.007,-2.909,723.483,9.326e-4,0.739
11.06,2765.577,241.075,1.509e4,236.407,188.788,3.175,0.012,-2.976,722.53,9.316e-4,0.735
11.11,2775.926,239.677,1.509e4,236.381,188.788,3.173,0.007,-3.044,721.584,9.307e-4,0.731
11.16,2786.21,238.292,1.509e4,236.32,188.788,3.169,0.01,-3.11,720.643,9.297e-4,0.727
11.21,2796.428,236.92,1.509e4,236.296,188.788,3.167,0.005,-3.177,719.708,9.287e-4,0.723
11.26,2806.581,235.561,1.509e4,236.196,188.788,3.161,0.017,-3.243,718.779,9.277e-4,0.719
11.31,2816.67,234.215,1.509e4,236.206,188.788,3.161,0.003,-3.308,717.856,9.268e-4,0.714
11.36,2826.695,232.884,1.509e4,236.115,188.788,3.155,0.013,-3.374,716.939,9.258e-4,0.71
11.41,2836.657,231.565,1.509e4,236.088,188.788,3.153,0.008,-3.438,716.028,9.248e-4,0.706
11.46,2846.557,230.259,1.509e4,236.055,188.788,3.151,0.006,-3.503,715.122,9.239e-4,0.702
11.51,2856.395,228.964,1.509e4,236.032,188.788,3.15,0.002,-3.567,714.222,9.229e-4,0.699
11.56,2866.171,227.68,1.509e4,235.946,188.788,3.144,0.013,-3.63,713.328,9.22e-4,0.695
11.61,2875.886,226.407,1.509e4,235.951,188.788,3.144,0.002,-3.693,712.439,9.211e-4,0.691
11.66,2885.54,225.146,1.509e4,235.87,188.788,3.139,0.012,-3.756,711.556,9.202e-4,0.688
11.71,2895.135,223.895,1.509e4,235.868,188.788,3.139,0.003,-3.818,710.678,9.192e-4,0.684
11.76,2904.67,222.657,1.509e4,235.774,188.788,3.132,0.015,-3.88,709.806,9.183e-4,0.68
11.81,2914.145,221.429,1.509e4,235.783,188.788,3.133,0.004,-3.942,708.939,9.174e-4,0.677
11.86,2923.562,220.212,1.509e4,235.709,188.788,3.128,0.012,-4.003,708.078,9.165e-4,0.673
11.91,2932.921,219.005,1.509e4,235.671,188.788,3.126,0.013,-4.064,707.222,9.156e-4,0.67
11.96,2942.223,217.808,1.509e4,235.657,188.788,3.125,0.008,-4.124,706.371,9.147e-4,0.666
12.01,2951.467,216.621,1.509e4,235.594,188.788,3.12,0.015,-4.185,705.525,9.138e-4,0.663
12.06,2960.654,215.444,1.509e4,235.605,188.788,3.121,0.004,-4.244,704.685,9.129e-4,0.659
12.11,2969.785,214.277,1.509e4,235.576,188.788,3.119,0.003,-4.304,703.849,9.12e-4,0.656
12.16,2978.859,213.12,1.509e4,235.499,188.788,3.114,0.013,-4.363,703.019,9.112e-4,0.652
12.21,2987.878,211.973,1.509e4,235.503,188.788,3.114,0.004,-4.421,702.194,9.103e-4,0.649
12.26,2996.843,210.835,1.509e4,235.463,188.788,3.112,0.006,-4.479,701.374,9.094e-4,0.645
12.31,3005.752,209.706,1.509e4,235.413,188.788,3.108,0.01,-4.537,700.586,9.086e-4,0.642
12.36,3014.607,208.586,1.509e4,235.423,188.788,3.109,2.846e-4,-4.595,699.816,9.078e-4,0.639
12.41,3023.408,207.476,1.509e4,235.351,188.788,3.104,0.01,-4.652,699.051,9.07e-4,0.635
12.46,3032.156,206.374,1.509e4,235.337,188.788,3.103,0.006,-4.709,698.291,9.062e-4,0.632
12.51,3040.85,205.281,1.509e4,235.315,188.788,3.102,0.004,-4.766,697.536,9.054e-4,0.629
12.56,3049.492,204.196,1.509e4,235.262,188.788,3.098,0.01,-4.822,696.785,9.046e-4,0.625
12.61,3058.081,203.12,1.509e4,235.251,188.788,3.098,0.006,-4.878,696.039,9.038e-4,0.622
12.66,3066.617,202.052,1.509e4,235.209,188.788,3.095,0.009,-4.933,695.297,9.031e-4,0.619
12.71,3075.103,200.993,1.509e4,235.188,188.788,3.093,0.007,-4.988,694.56,9.023e-4,0.616
12.76,3083.537,199.942,1.509e4,235.168,188.788,3.092,0.006,-5.043,693.827,9.015e-4,0.613
12.81,3091.92,198.899,1.509e4,235.128,188.788,3.089,0.009,-5.097,693.099,9.008e-4,0.609
12.86,3100.252,197.864,1.509e4,235.07,188.788,3.085,0.016,-5.152,692.375,9e-4,0.606
12.91,3108.534,196.837,1.509e4,235.1,188.788,3.087,0.003,-5.205,691.655,8.993e-4,0.603
12.96,3116.765,195.817,1.509e4,235.035,188.788,3.083,0.012,-5.259,690.94,8.985e-4,0.6
13.01,3124.947,194.806,1.509e4,234.975,188.788,3.079,0.021,-5.312,690.229,8.978e-4,0.597
13.06,3133.081,193.801,1.509e4,235.027,188.788,3.083,0.004,-5.365,689.522,8.97e-4,0.594
13.11,3141.165,192.803,1.509e4,234.877,188.788,3.073,0.032,-5.418,688.82,8.963e-4,0.591
13.16,3149.2,191.813,1.509e4,234.901,188.788,3.074,0.022,-5.47,688.122,8.955e-4,0.588
13.21,3157.186,190.83,1.509e4,234.913,188.788,3.075,0.014,-5.522,687.428,8.948e-4,0.585
13.26,3165.124,189.855,1.509e4,234.816,188.788,3.069,0.031,-5.573,686.738,8.941e-4,0.582
13.31,3173.015,188.886,1.509e4,234.88,188.788,3.073,0.012,-5.625,686.052,8.934e-4,0.579
13.36,3180.858,187.924,1.509e4,234.876,188.788,3.073,0.009,-5.676,685.371,8.927e-4,0.577
13.41,3188.654,186.968,1.509e4,234.814,188.788,3.068,0.018,-5.726,684.693,8.919e-4,0.574
13.46,3196.403,186.019,1.509e4,234.807,188.788,3.068,0.016,-5.777,684.02,8.912e-4,0.571
13.51,3204.105,185.076,1.509e4,234.843,188.788,3.07,0.003,-5.827,683.351,8.905e-4,0.568
13.56,3211.76,184.14,1.509e4,234.746,188.788,3.064,0.021,-5.876,682.686,8.898e-4,0.565
13.61,3219.37,183.21,1.509e4,234.795,188.788,3.067,0.006,-5.926,682.025,8.891e-4,0.563
13.66,3226.934,182.287,1.509e4,234.78,188.788,3.066,0.005,-5.975,681.367,8.884e-4,0.56
13.71,3234.452,181.369,1.509e4,234.771,188.788,3.066,0.004,-6.024,680.714,8.877e-4,0.557
13.76,3241.925,180.458,1.509e4,234.699,188.788,3.061,0.016,-6.073,680.065,8.871e-4,0.555
13.81,3249.352,179.552,1.509e4,234.754,188.788,3.064,3.526e-4,-6.121,679.419,8.864e-4,0.552
13.86,3256.735,178.652,1.509e4,234.724,188.788,3.062,0.004,-6.169,678.778,8.857e-4,0.55
13.91,3264.073,177.758,1.509e4,234.703,188.788,3.061,0.004,-6.216,678.14,8.85e-4,0.547
13.96,3271.366,176.871,1.509e4,234.707,188.788,3.061,2.36e-4,-6.264,677.507,8.844e-4,0.544
14.01,3278.616,175.989,1.509e4,234.683,188.788,3.06,0.002,-6.311,676.877,8.837e-4,0.541
14.06,3285.821,175.113,1.509e4,234.67,188.788,3.059,0.002,-6.358,676.251,8.83e-4,0.539
14.11,3292.983,174.243,1.509e4,234.656,188.788,3.058,0.002,-6.404,675.628,8.824e-4,0.536
14.16,3300.101,173.379,1.509e4,234.633,188.788,3.056,0.004,-6.451,675.01,8.817e-4,0.533
14.21,3307.176,172.52,1.509e4,234.6,188.788,3.054,0.008,-6.497,674.395,8.811e-4,0.531
14.26,3314.209,171.667,1.509e4,234.597,188.788,3.054,0.006,-6.542,673.784,8.804e-4,0.528
14.31,3321.199,170.819,1.509e4,234.595,188.788,3.054,0.003,-6.588,673.177,8.798e-4,0.526
14.36,3328.146,169.977,1.509e4,234.586,188.788,3.053,0.003,-6.633,672.573,8.791e-4,0.523
14.41,3335.051,169.14,1.509e4,234.539,188.788,3.05,0.011,-6.678,671.973,8.785e-4,0.521
14.46,3341.914,168.308,1.509e4,234.561,188.788,3.052,0.003,-6.722,671.377,8.779e-4,0.518
14.51,3348.734,167.482,1.509e4,234.531,188.788,3.05,0.008,-6.767,670.784,8.772e-4,0.516
14.56,3355.513,166.66,1.509e4,234.525,188.788,3.049,0.006,-6.811,670.195,8.766e-4,0.513
14.61,3362.251,165.844,1.509e4,234.541,188.788,3.05,4.562e-4,-6.855,669.61,8.76e-4,0.511
14.66,3368.948,165.034,1.509e4,234.508,188.788,3.048,0.006,-6.898,669.028,8.754e-4,0.508
14.71,3375.604,164.228,1.509e4,234.522,188.788,3.049,2.642e-4,-6.941,668.449,8.748e-4,0.506
14.76,3382.218,163.427,1.509e4,234.481,188.788,3.046,0.007,-6.984,667.875,8.741e-4,0.503
14.81,3388.792,162.631,1.509e4,234.469,188.788,3.045,0.008,-7.027,667.304,8.735e-4,0.501
14.86,3395.326,161.84,1.509e4,234.475,188.788,3.046,0.005,-7.07,666.736,8.729e-4,0.499
14.91,3401.82,161.053,1.509e4,234.461,188.788,3.045,0.006,-7.112,666.172,8.723e-4,0.496
14.96,3408.274,160.271,1.509e4,234.476,188.788,3.046,0.001,-7.154,665.611,8.717e-4,0.494
15.01,3414.688,159.493,1.509e4,234.394,188.788,3.04,0.017,-7.195,665.053,8.711e-4,0.492
15.06,3421.062,158.72,1.509e4,234.394,188.788,3.04,0.016,-7.237,664.5,8.705e-4,0.49
15.11,3427.396,157.952,1.509e4,234.409,188.788,3.041,0.011,-7.278,663.949,8.7e-4,0.487
15.16,3433.691,157.188,1.509e4,234.349,188.788,3.037,0.022,-7.319,663.402,8.694e-4,0.485
15.21,3439.947,156.429,1.509e4,234.326,188.788,3.036,0.026,-7.36,662.859,8.688e-4,0.483
15.26,3446.164,155.673,1.509e4,234.344,188.788,3.037,0.02,-7.4,662.318,8.682e-4,0.481
15.31,3452.343,154.922,1.509e4,234.38,188.788,3.039,0.01,-7.44,661.782,8.677e-4,0.478
15.36,3458.484,154.176,1.509e4,234.233,188.788,3.03,0.041,-7.48,661.248,8.671e-4,0.476
15.41,3464.585,153.434,1.509e4,234.282,188.788,3.033,0.028,-7.52,660.718,8.665e-4,0.474
15.46,3470.647,152.696,1.509e4,234.379,188.788,3.039,0.005,-7.559,660.191,8.66e-4,0.471
15.51,3476.671,151.964,1.509e4,234.303,188.788,3.034,0.02,-7.598,659.668,8.654e-4,0.469
15.56,3482.657,151.235,1.509e4,234.184,188.788,3.026,0.045,-7.637,659.148,8.648e-4,0.467
15.61,3488.607,150.51,1.509e4,234.212,188.788,3.028,0.037,-7.676,658.631,8.643e-4,0.465
15.66,3494.519,149.79,1.509e4,234.334,188.788,3.036,0.009,-7.714,658.117,8.637e-4,0.462
15.71,3500.394,149.074,1.509e4,234.221,188.788,3.029,0.032,-7.753,657.608,8.632e-4,0.46
15.76,3506.231,148.361,1.509e4,234.266,188.788,3.032,0.021,-7.791,657.127,8.627e-4,0.459
15.81,3512.031,147.652,1.509e4,234.323,188.788,3.036,0.007,-7.828,656.649,8.622e-4,0.456
15.86,3517.793,146.947,1.509e4,234.288,188.788,3.033,0.013,-7.866,656.173,8.617e-4,0.455
15.91,3523.519,146.246,1.509e4,234.243,188.788,3.03,0.022,-7.903,655.701,8.612e-4,0.453
15.96,3529.208,145.548,1.509e4,234.266,188.788,3.032,0.015,-7.94,655.232,8.607e-4,0.451
16.01,3534.861,144.855,1.509e4,234.306,188.788,3.035,0.005,-7.977,654.766,8.602e-4,0.448
16.06,3540.478,144.165,1.509e4,234.212,188.788,3.028,0.024,-8.013,654.302,8.597e-4,0.446
16.11,3546.058,143.479,1.509e4,234.191,188.788,3.027,0.027,-8.049,653.842,8.592e-4,0.444
16.16,3551.601,142.797,1.509e4,234.222,188.788,3.029,0.019,-8.085,653.385,8.587e-4,0.442
16.21,3557.108,142.119,1.509e4,234.229,188.788,3.029,0.016,-8.121,652.931,8.582e-4,0.44
16.26,3562.579,141.445,1.509e4,234.169,188.788,3.025,0.028,-8.157,652.479,8.578e-4,0.438
16.31,3568.015,140.775,1.509e4,234.153,188.788,3.024,0.03,-8.192,652.031,8.573e-4,0.436
16.36,3573.416,140.109,1.509e4,234.265,188.788,3.032,0.004,-8.227,651.586,8.568e-4,0.433
16.41,3578.782,139.446,1.509e4,234.209,188.788,3.028,0.015,-8.262,651.143,8.564e-4,0.431
16.46,3584.112,138.787,1.509e4,234.186,188.788,3.027,0.018,-8.297,650.703,8.559e-4,0.429
16.51,3589.407,138.132,1.509e4,234.216,188.788,3.029,0.011,-8.331,650.267,8.554e-4,0.427
16.56,3594.666,137.48,1.509e4,234.242,188.788,3.03,0.004,-8.365,649.833,8.55e-4,0.425
16.61,3599.891,136.832,1.509e4,234.192,188.788,3.027,0.013,-8.399,649.402,8.545e-4,0.423
16.66,3605.081,136.188,1.509e4,234.2,188.788,3.028,0.01,-8.433,648.974,8.541e-4,0.421
16.71,3610.236,135.547,1.509e4,234.232,188.788,3.03,0.002,-8.467,648.549,8.536e-4,0.419
16.76,3615.357,134.91,1.509e4,234.207,188.788,3.028,0.006,-8.5,648.126,8.532e-4,0.417
16.81,3620.443,134.276,1.509e4,234.188,188.788,3.027,0.009,-8.533,647.707,8.527e-4,0.416
16.86,3625.496,133.645,1.509e4,234.2,188.788,3.027,0.005,-8.566,647.29,8.523e-4,0.414
16.91,3630.514,133.018,1.509e4,234.207,188.788,3.028,0.003,-8.598,646.876,8.518e-4,0.412
16.96,3635.499,132.394,1.509e4,234.211,188.788,3.028,8.187e-4,-8.631,646.465,8.514e-4,0.41
17.01,3640.449,131.773,1.509e4,234.155,188.788,3.024,0.012,-8.663,646.057,8.51e-4,0.408
17.06,3645.365,131.155,1.509e4,234.183,188.788,3.026,0.005,-8.695,645.651,8.505e-4,0.407
17.11,3650.248,130.541,1.509e4,234.17,188.788,3.025,0.006,-8.727,645.249,8.501e-4,0.405
17.16,3655.097,129.93,1.509e4,234.146,188.788,3.024,0.011,-8.758,644.849,8.497e-4,0.403
17.21,3659.913,129.321,1.509e4,234.176,188.788,3.026,0.003,-8.789,644.452,8.492e-4,0.401
17.26,3664.695,128.716,1.509e4,234.13,188.788,3.023,0.012,-8.821,644.057,8.488e-4,0.399
17.31,3669.444,128.115,1.509e4,234.054,188.788,3.018,0.027,-8.851,643.666,8.484e-4,0.397
17.36,3674.16,127.517,1.509e4,234.151,188.788,3.024,0.005,-8.882,643.277,8.48e-4,0.396
17.41,3678.842,126.922,1.509e4,234.132,188.788,3.023,0.008,-8.912,642.89,8.476e-4,0.394
17.46,3683.491,126.33,1.509e4,234.089,188.788,3.02,0.016,-8.943,642.507,8.472e-4,0.392
17.51,3688.108,125.742,1.509e4,234.115,188.788,3.022,0.009,-8.973,642.126,8.468e-4,0.39
17.56,3692.692,125.157,1.509e4,234.129,188.788,3.023,0.005,-9.003,641.748,8.464e-4,0.388
17.61,3697.244,124.575,1.509e4,234.144,188.788,3.024,0.001,-9.032,641.373,8.46e-4,0.386
17.66,3701.763,123.997,1.509e4,234.093,188.788,3.02,0.011,-9.061,641,8.456e-4,0.385
17.71,3706.25,123.421,1.509e4,234.077,188.788,3.019,0.014,-9.091,640.63,8.452e-4,0.383
17.76,3710.704,122.848,1.509e4,234.124,188.788,3.022,0.003,-9.12,640.263,8.448e-4,0.381
17.81,3715.127,122.279,1.509e4,234.114,188.788,3.022,0.004,-9.148,639.898,8.444e-4,0.379
17.86,3719.517,121.712,1.509e4,234.086,188.788,3.02,0.009,-9.177,639.536,8.44e-4,0.378
17.91,3723.875,121.149,1.509e4,234.082,188.788,3.02,0.008,-9.205,639.176,8.436e-4,0.376
17.96,3728.201,120.589,1.509e4,234.105,188.788,3.021,0.003,-9.233,638.819,8.432e-4,0.374
18.01,3732.495,120.031,1.509e4,234.049,188.788,3.017,0.014,-9.261,638.465,8.429e-4,0.373
18.06,3736.757,119.477,1.509e4,234.091,188.788,3.02,0.004,-9.289,638.114,8.425e-4,0.371
18.11,3740.988,118.926,1.509e4,234.077,188.788,3.019,0.006,-9.316,637.765,8.421e-4,0.369
18.16,3745.187,118.377,1.509e4,234.091,188.788,3.02,0.002,-9.344,637.418,8.417e-4,0.368
18.21,3749.355,117.832,1.509e4,234.091,188.788,3.02,0.001,-9.371,637.075,8.414e-4,0.366
18.26,3753.492,117.29,1.509e4,234.061,188.788,3.018,0.007,-9.398,636.734,8.41e-4,0.364
18.31,3757.597,116.75,1.509e4,234.023,188.788,3.016,0.014,-9.424,636.395,8.406e-4,0.363
18.36,3761.671,116.213,1.509e4,234.032,188.788,3.016,0.011,-9.451,636.059,8.403e-4,0.361
18.41,3765.714,115.679,1.509e4,234.015,188.788,3.015,0.014,-9.477,635.725,8.399e-4,0.359
18.46,3769.726,115.148,1.509e4,233.981,188.788,3.013,0.02,-9.503,635.395,8.396e-4,0.358
18.51,3773.707,114.621,1.509e4,234.029,188.788,3.016,0.009,-9.529,635.066,8.392e-4,0.356
18.56,3777.656,114.096,1.509e4,234.038,188.788,3.017,0.007,-9.555,634.741,8.389e-4,0.355
18.61,3781.575,113.574,1.509e4,233.977,188.788,3.013,0.019,-9.58,634.417,8.385e-4,0.353
18.66,3785.464,113.054,1.509e4,233.965,188.788,3.012,0.02,-9.606,634.097,8.382e-4,0.352
18.71,3789.322,112.538,1.509e4,233.875,188.788,3.006,0.039,-9.631,633.778,8.378e-4,0.351
18.76,3793.15,112.024,1.509e4,233.905,188.788,3.008,0.032,-9.655,633.463,8.375e-4,0.349
18.81,3796.948,111.512,1.509e4,234.006,188.788,3.015,0.01,-9.68,633.149,8.372e-4,0.348
18.86,3800.715,111.003,1.509e4,233.895,188.788,3.007,0.033,-9.705,632.839,8.368e-4,0.346
18.91,3804.452,110.497,1.509e4,233.756,188.788,2.998,0.061,-9.729,632.531,8.365e-4,0.344
18.96,3808.158,109.994,1.509e4,233.783,188.788,3,0.055,-9.753,632.225,8.362e-4,0.343
19.01,3811.833,109.494,1.509e4,233.875,188.788,3.006,0.034,-9.777,631.922,8.359e-4,0.341
19.06,3815.477,108.997,1.509e4,234.01,188.788,3.015,0.005,-9.801,631.621,8.355e-4,0.34
19.11,3819.092,108.503,1.509e4,233.816,188.788,3.002,0.046,-9.824,631.323,8.352e-4,0.339
19.16,3822.677,108.012,1.509e4,233.76,188.788,2.998,0.057,-9.847,631.027,8.349e-4,0.337
19.21,3826.233,107.523,1.509e4,233.813,188.788,3.002,0.045,-9.871,630.734,8.346e-4,0.335
19.26,3829.759,107.038,1.509e4,233.826,188.788,3.003,0.041,-9.893,630.443,8.343e-4,0.334
19.31,3833.257,106.555,1.509e4,233.93,188.788,3.009,0.018,-9.916,630.155,8.34e-4,0.333
19.36,3836.724,106.074,1.509e4,233.868,188.788,3.005,0.031,-9.939,629.869,8.336e-4,0.331
19.41,3840.162,105.597,1.509e4,233.843,188.788,3.004,0.036,-9.961,629.585,8.333e-4,0.33
19.46,3843.57,105.122,1.509e4,233.763,188.788,2.998,0.052,-9.983,629.304,8.33e-4,0.328
19.51,3846.948,104.65,1.509e4,233.789,188.788,3,0.045,-10.005,629.026,8.327e-4,0.327
19.56,3850.296,104.181,1.509e4,233.92,188.788,3.009,0.017,-10.027,628.749,8.324e-4,0.325
19.61,3853.614,103.715,1.509e4,233.96,188.788,3.011,0.008,-10.048,628.476,8.322e-4,0.324
19.66,3856.904,103.252,1.509e4,233.818,188.788,3.002,0.037,-10.07,628.204,8.319e-4,0.322
19.71,3860.164,102.792,1.509e4,233.732,188.788,2.996,0.055,-10.091,627.936,8.316e-4,0.321
19.76,3863.396,102.334,1.509e4,233.739,188.788,2.997,0.053,-10.112,627.669,8.313e-4,0.32
19.81,3866.6,101.879,1.509e4,233.834,188.788,3.003,0.032,-10.133,627.405,8.31e-4,0.318
19.86,3869.774,101.427,1.509e4,233.961,188.788,3.012,0.004,-10.154,627.143,8.307e-4,0.317
19.91,3872.92,100.978,1.509e4,233.854,188.788,3.004,0.026,-10.174,626.883,8.304e-4,0.315
19.96,3876.037,100.532,1.509e4,233.758,188.788,2.998,0.046,-10.194,626.626,8.302e-4,0.314
20.01,3879.124,100.088,1.509e4,233.744,188.788,2.997,0.048,-10.214,626.372,8.299e-4,0.312
20.06,3882.183,99.648,1.509e4,233.838,188.788,3.003,0.028,-10.234,626.119,8.296e-4,0.311
20.11,3885.212,99.21,1.509e4,233.948,188.788,3.011,0.004,-10.254,625.87,8.293e-4,0.31
20.16,3888.213,98.775,1.509e4,233.803,188.788,3.001,0.034,-10.273,625.622,8.291e-4,0.309
20.21,3891.185,98.342,1.509e4,233.807,188.788,3.001,0.033,-10.293,625.377,8.288e-4,0.307
20.26,3894.129,97.913,1.509e4,233.809,188.788,3.001,0.032,-10.312,625.134,8.286e-4,0.306
20.31,3897.046,97.486,1.509e4,233.826,188.788,3.003,0.027,-10.331,624.894,8.283e-4,0.304
20.36,3899.933,97.062,1.509e4,233.88,188.788,3.006,0.015,-10.35,624.655,8.28e-4,0.303
20.41,3902.793,96.641,1.509e4,233.873,188.788,3.006,0.016,-10.368,624.42,8.278e-4,0.302
20.46,3905.625,96.223,1.509e4,233.913,188.788,3.008,0.008,-10.387,624.186,8.275e-4,0.301
20.51,3908.428,95.807,1.509e4,233.919,188.788,3.009,0.006,-10.405,623.955,8.273e-4,0.3
20.56,3911.204,95.394,1.509e4,233.849,188.788,3.004,0.02,-10.423,623.726,8.27e-4,0.298
20.61,3913.951,94.983,1.509e4,233.841,188.788,3.004,0.021,-10.441,623.499,8.268e-4,0.297
20.66,3916.669,94.575,1.509e4,233.852,188.788,3.004,0.018,-10.458,623.275,8.266e-4,0.296
20.71,3919.36,94.17,1.509e4,233.854,188.788,3.004,0.017,-10.476,623.053,8.263e-4,0.295
20.76,3922.022,93.768,1.509e4,233.933,188.788,3.01,4.083e-4,-10.493,622.834,8.261e-4,0.294
20.81,3924.657,93.369,1.509e4,233.887,188.788,3.007,0.01,-10.51,622.616,8.258e-4,0.293
20.86,3927.263,92.972,1.509e4,233.816,188.788,3.002,0.024,-10.527,622.401,8.256e-4,0.292
20.91,3929.842,92.579,1.509e4,233.83,188.788,3.003,0.021,-10.544,622.189,8.254e-4,0.29
20.96,3932.394,92.188,1.509e4,233.802,188.788,3.001,0.026,-10.561,621.978,8.252e-4,0.289
21.01,3934.918,91.8,1.509e4,233.817,188.788,3.002,0.022,-10.577,621.77,8.249e-4,0.288
21.06,3937.414,91.414,1.509e4,233.79,188.788,3,0.028,-10.593,621.564,8.247e-4,0.287
21.11,3939.884,91.031,1.509e4,233.899,188.788,3.007,0.004,-10.609,621.361,8.245e-4,0.286
21.16,3942.325,90.651,1.509e4,233.77,188.788,2.999,0.031,-10.625,621.159,8.243e-4,0.284
21.21,3944.739,90.274,1.509e4,233.773,188.788,2.999,0.03,-10.641,620.96,8.241e-4,0.284
21.26,3947.125,89.9,1.509e4,233.756,188.788,2.998,0.033,-10.656,620.763,8.238e-4,0.282
21.31,3949.484,89.529,1.509e4,233.693,188.788,2.994,0.045,-10.672,620.569,8.236e-4,0.281
21.36,3951.814,89.162,1.509e4,233.793,188.788,3,0.024,-10.687,620.376,8.234e-4,0.279
21.41,3954.117,88.797,1.509e4,233.864,188.788,3.005,0.009,-10.702,620.187,8.232e-4,0.278
21.46,3956.393,88.435,1.509e4,233.682,188.788,2.993,0.047,-10.717,619.999,8.23e-4,0.278
21.51,3958.643,88.076,1.509e4,233.621,188.788,2.989,0.059,-10.731,619.813,8.228e-4,0.277
21.56,3960.865,87.72,1.509e4,233.643,188.788,2.99,0.054,-10.746,619.63,8.226e-4,0.275
